,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri
127,1snDbD1L2yTSgRvyG3aNH8,Thank You (Not So Bad) - Extended,64,73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,71,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",Thank You (Not So Bad) [Extended],spotify:album:4UWt7X0LgxwTO64FRLcd8g
128,1Yu1fJCwqEWlacl4ofyeUg,"One, Two, & 3",50,4sTQVOfp9vEMCemLw50sbu,Galantis,70,"['dance pop', 'edm', 'pop', 'pop dance']","One, Two, & 3",spotify:album:1vQWQX4pHIp1c1QSntHZrn
129,5tTDTWPR5O22fN0k9ubC0T,God And A Girl,42,7Cezk2wEDBPfYCwEuKum1Y,Luke Grimes,52,['modern country pop'],Luke Grimes,spotify:album:3z24fpMlBap60LQ1Or1Gq2
130,6Y6UL4vqEnoPUbG1qVTgG4,In and Out (Interlude),40,1PpDfXOUG7gxUjR1quWnwp,Amanda Reifer,56,['barbadian pop'],In and Out (Interlude),spotify:album:10w2moUbaxbVqLKttAIcH1
131,41NurYm4JBHtMRNRouSGaV,Love and Pain,50,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,76,"['dance pop', 'latin pop', 'mexican pop']",FINAL (Vol.2),spotify:album:5LHd4piJoHcz4CXhjsFKxx
132,24KjqNCAHfrIT0dWeNynym,Por Onde Andei,55,2OUgs5INWK2UEvZ6amWiJr,Eduardo Costa,66,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional', 'sertanejo universitario']",Por Onde Andei,spotify:album:2TDR3k7VBlBFVwcnfUSMzQ
133,1QzdUCuGse7e2o7oxBHJR6,Bad Time,53,1aEYCT7t18aM3VvM6y8oVR,Alkaline Trio,55,"['chicago punk', 'emo', 'pop punk', 'punk', 'skate punk']","Blood, Hair, And Eyeballs",spotify:album:3BQK669H6FrqGVd7YtxNIs
134,2fTe41iso7GyCLuRu3UmJh,Popular (Slowed) (with Playboi Carti & Madonna),58,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,93,"['canadian contemporary r&b', 'canadian pop', 'pop']",Popular,spotify:album:0p0FGxiCrl3afABenvtWbQ
135,0UTtK6hregIBOsefavRI26,Holssi,69,3HqSLMAZ3g3d5poNaI7GOU,IU,71,"['k-pop', 'pop']",The Winning,spotify:album:08CvAj58nVMpq1Nw7T6maj
136,5wiAFvYjgrzxlyYxDXP155,"yes, and? - edit",46,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,92,['pop'],"yes, and?",spotify:album:6mNdtZhr5zcz2SLzyPxweY
