track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
0G3fI2EvhLAtBKZ66Tow9V,Young Love & Saturday Nights,50,country,Chris Young,64,2747416,"['contemporary country', 'country', 'country road']",Young Love & Saturday Nights,0.532,0.85,9,1,-5.301,0.0816,0.0209,0.000287,0.31,0.494,126.073,196373,4,4BYxqVkZyFjtik7crYLg5Q,spotify:album:0TJoGKCktudahrtegfmmgD
00wWOJfxwRtOaDXQ5fhtGa,Tie Up,52,country,Zac Brown Band,70,3750563,"['contemporary country', 'country', 'country road', 'modern country rock']",Pirates & Parrots (feat. Mac McAnally),0.669,0.781,9,1,-4.045,0.0416,0.15,0.0,0.0841,0.75,80.028,188036,4,6yJCxee7QumYr820xdIsjo,spotify:album:204AnaLrCMvOeXCCO5JqH1
4SflMtWx9gjZ4lT7qcU871,Middle Finger Motto,48,country,Eddie And The Getaway,46,57260,['modern country pop'],Middle Finger Motto,0.411,0.86,2,1,-4.143,0.138,0.000801,0.0,0.313,0.65,159.929,171938,4,7oTkfyZOcKQuCUFnSVLB3j,spotify:album:788rbiHAOAvbo26RzsdyOU
5tTDTWPR5O22fN0k9ubC0T,God And A Girl,42,country,Luke Grimes,52,95120,['modern country pop'],Luke Grimes,0.43,0.352,9,1,-10.272,0.0289,0.193,0.000601,0.111,0.18,109.428,294006,3,7Cezk2wEDBPfYCwEuKum1Y,spotify:album:3z24fpMlBap60LQ1Or1Gq2
6Ry13iv8mKsmUrTqrKtsoR,"My Rifle, My Pony and Me",39,country,Jarrod Morris,41,22815,"['classic texas country', 'red dirt']","My Rifle, My Pony and Me",0.616,0.248,0,1,-12.704,0.0374,0.822,2.01e-05,0.221,0.525,88.935,138339,4,2Y08Tu239xOkg25bPkth9R,spotify:album:7CZsIP4fkYo2PI5cTRXXHA
5FpEdufuunZqzyQbyetevf,Dance Like No One’s Watching,53,country,Gabby Barrett,60,336294,['contemporary country'],Chapter & Verse,0.529,0.587,5,1,-5.954,0.0346,0.0958,0.0,0.101,0.238,121.827,231653,3,6Iz3eq2aQGFf7TbGT2iahL,spotify:album:4pfspuo0DUzho0hGtZHI9r
21KtzK2Ca651OjwqmSLuLF,Fire in the Sky,50,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.264,0.802,9,1,-7.445,0.0578,0.00354,0.0956,0.0988,0.465,148.19,219187,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
57cI63EBY6FqAhgzQxMSCT,"Trucks, Ducks, Bucks & Beer",46,country,Brian Kelley,50,31951,['modern country pop'],"Trucks, Ducks, Bucks & Beer",0.51,0.843,5,1,-4.074,0.0457,0.069,0.0,0.0771,0.718,156.041,193133,4,46c50yWMo9wiTgVe1VxBbQ,spotify:album:0ZUnvfZAa49HJeEZOX58vw
67TxTJi4FO08ZVfXHt387f,Soul & My Sanity,45,country,Ryan Langdon,29,4775,['canadian contemporary country'],Soul & My Sanity,0.639,0.671,0,0,-7.274,0.0596,0.0301,0.0,0.119,0.918,157.964,153056,3,7xceJlDYJKhn4KdxY8CWaV,spotify:album:1J8qR59qyGvqtDO8QtI2Oy
6kCHieQz25M0EYggaSldfi,Me & This Bottle,44,country,Jay Webb,55,106134,['modern country pop'],Cowboy Cry + Me & This Bottle,0.605,0.785,2,1,-6.693,0.0376,0.0121,0.0,0.0545,0.382,84.971,136429,4,74a1KhMBkw4iweAtpbjuHk,spotify:album:4U2eiBxJifBFuArPwPWpA0
5lv9EWq0QFIbhXQEufBTSS,Addicted And Clean,41,country,Chayce Beckham,62,108855,['modern country pop'],Bad For Me,0.635,0.565,7,1,-8.195,0.0334,0.216,0.0,0.253,0.47,125.995,240374,4,5ujvZU2thXjZgFKPUt1rDt,spotify:album:6vuwxb0fLibvV8pIh071QY
3u1c0uyZAOzhEImVeEbFN3,Willing and Able,39,country,Charles Wesley Godwin,60,133954,['modern country pop'],Live From Echo Mountain,0.536,0.369,11,1,-7.371,0.027,0.129,0.000141,0.105,0.148,115.096,232600,4,2ErsJAz6qJ5cqjoVAvfvaC,spotify:album:1bALhDEJ1lpNzqbhiObQim
7JleBDBuwFRvOGA4SDlvvD,Looking for You,53,country,Chris Young,64,2747416,"['contemporary country', 'country', 'country road']",Young Love & Saturday Nights,0.451,0.877,7,1,-3.652,0.0457,0.0568,0.0,0.0903,0.539,80.875,181267,4,4BYxqVkZyFjtik7crYLg5Q,spotify:album:0TJoGKCktudahrtegfmmgD
1GbngDSD5k8elgBFJgtawm,Adeline,48,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.442,0.669,7,1,-7.218,0.0355,0.0536,1.36e-05,0.296,0.103,79.532,210680,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
7bDf4FJfRCTXPnOqxWu5xG,Cowboy Cry,53,country,Jay Webb,55,106134,['modern country pop'],Cowboy Cry + Me & This Bottle,0.689,0.579,4,0,-8.501,0.0437,0.157,0.0,0.291,0.334,88.583,131186,4,74a1KhMBkw4iweAtpbjuHk,spotify:album:4U2eiBxJifBFuArPwPWpA0
7CdloZymkCm6B3FJBPGwuV,Everything & More,39,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.25,0.49,7,1,-7.808,0.0309,0.409,0.103,0.0911,0.101,74.848,237533,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
2fjaprLONUNO5czKPEprug,Growin’ Up Raising You,50,country,Gabby Barrett,60,336294,['contemporary country'],Chapter & Verse,0.547,0.505,1,1,-6.33,0.0264,0.371,0.0,0.0806,0.132,112.649,197187,4,6Iz3eq2aQGFf7TbGT2iahL,spotify:album:4pfspuo0DUzho0hGtZHI9r
1H74gydZHZGnNCLzqUgcsH,Glory Days,50,country,Gabby Barrett,60,336294,['contemporary country'],Chapter & Verse,0.646,0.776,7,1,-5.221,0.0514,0.00686,0.0,0.118,0.266,103.922,162880,4,6Iz3eq2aQGFf7TbGT2iahL,spotify:album:4pfspuo0DUzho0hGtZHI9r
0dpPQBxFuXkSQuFHVF6rq4,The Greys Between,46,country,Shane Smith & the Saints,54,153415,"['classic texas country', 'red dirt']",Norther,0.464,0.667,2,1,-5.99,0.0327,0.104,0.00012,0.363,0.316,140.969,253280,4,4pLxUMyDrijXynrUP59whJ,spotify:album:3smnnShnaqQxBcvmDqvGPO
4x3oHY9XeuQ6TB3X0wK1gL,Gettin' Older,52,country,Chris Young,64,2747416,"['contemporary country', 'country', 'country road']",Young Love & Saturday Nights,0.252,0.601,4,1,-5.494,0.0392,0.624,0.0,0.122,0.242,83.235,217560,4,4BYxqVkZyFjtik7crYLg5Q,spotify:album:0TJoGKCktudahrtegfmmgD
0q2ZwaD697dTrD2Fq5jcvU,Straight and Narrow - Live,40,country,Sam Barber,65,325287,['modern country pop'],Live EP 001,0.303,0.632,11,1,-5.644,0.0372,0.676,0.0,0.933,0.526,87.008,231634,3,08GfvCW09pv2QP4y9sle2a,spotify:album:46Wz0JFGscUG5rbo5CEmZe
1PFB2nD81Isk7X6ZtQMGKY,Jack and Diet Coke,37,country,Redferrin,55,35269,['modern country pop'],Old No. 7,0.674,0.561,4,0,-6.457,0.0274,0.487,0.0,0.116,0.383,138.02,193467,4,4oCk0xbmAtqXZFzXtH3AgF,spotify:album:6xbAU0Dd22IURpRcpHy0lj
