track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
5KLLK4mpGEnXLcjiSd474a,Apocalypse,18,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.539,0.927,10,0,-5.215,0.0927,0.000672,2.9e-06,0.213,0.549,112.007,188387,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
4bvqG4P077HsUOTa2vXmmT,"Out In The Street - Live At The Roundhouse, London, 2nd April 1977",12,hard-rock,UFO,51,564494,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']",Lights Out (2024 Remaster),0.267,0.86,2,1,-6.96,0.0838,0.0108,0.000217,0.963,0.24,132.385,324400,4,2Omy3P5hFZym7FKum1JA1s,spotify:album:1CDfQjUxPPszW6PrPUSbgY
40g2iBYOx0CIdwUnLFYkyr,Space Truckin' - 2024 Remaster,17,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.605,0.898,9,1,-8.498,0.0442,0.00562,0.718,0.182,0.726,129.493,272233,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
2sTvYk1pCpN8IWaN16njy6,Never Before - 2024 Remaster,17,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.586,0.768,11,0,-8.28,0.0442,0.128,0.0275,0.0907,0.875,142.811,239467,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
6633sLJT3H20CHIZ2JnGbF,"C’mon Everybody - Live At The Roundhouse, London, 2nd April 1977",11,hard-rock,UFO,51,564494,"['album rock', 'glam metal', 'hard rock', 'metal', 'progressive rock']",Lights Out (2024 Remaster),0.366,0.868,2,1,-7.794,0.118,0.0223,0.0225,0.638,0.339,141.401,513947,4,2Omy3P5hFZym7FKum1JA1s,spotify:album:1CDfQjUxPPszW6PrPUSbgY
0HLhs0a3hmYmgR8by1vTsg,Strange Kind of Woman (Live 1972) - 2024 Remaster,17,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.418,0.913,11,0,-9.367,0.0911,0.0264,0.000383,0.716,0.688,133.837,572773,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
7ivDy2L29U9PG9UjBVOufy,Lazy - 2024 Remaster,16,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.371,0.776,5,0,-9.786,0.0515,0.164,0.562,0.112,0.431,93.479,443256,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
3vFB1tN7ZWeEPMr63FbJQv,Smoke on the Water (Live 1972) - 2024 Remaster,16,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.424,0.779,5,1,-8.982,0.0862,0.18,0.00094,0.923,0.4,114.595,451880,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
0xNuVBRxx7xAIPA8l1ChBu,I Found Me (feat. Mark Mackay),6,hard-rock,Jim Peterik And World Stage,7,1329,['melodic hard rock'],"Roots & Shoots, Vol. 1",0.628,0.743,5,0,-6.949,0.0292,0.0763,0.0,0.288,0.404,112.012,252373,4,2ZhzlGcrktVfwnDe8TPqIC,spotify:album:4TUhlu97IBQtzg1VO9GyZ3
6rmkZ6Cg1ebe1EAot93DSi,Mend Fences (feat. Kelly Keagy),8,hard-rock,Jim Peterik And World Stage,7,1329,['melodic hard rock'],"Roots & Shoots, Vol. 1",0.506,0.797,7,0,-7.461,0.029,0.0126,0.000953,0.669,0.518,104.946,203813,4,2ZhzlGcrktVfwnDe8TPqIC,spotify:album:4TUhlu97IBQtzg1VO9GyZ3
