,track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album
34,spotify:track:42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),92,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94,"['hip hop', 'rap', 'slap house']",UTOPIA
35,spotify:track:4E63weMCaNZuGPEFMnuEi8,exes,88,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,85,['pop'],THINK LATER
36,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,94,spotify:artist:7CvTknweLr9feJtRGrpDBy,FloyyMenor,77,['reggaeton chileno'],Gata Only
37,spotify:track:0WIv5qV41y6YjjB9V1biuC,Made For Me,87,spotify:artist:7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,73,"['indie r&b', 'pop r&b']",Made For Me
38,spotify:track:0LMwmV37RCmBO2so0szAFs,Whatever,89,spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo,80,"['edm', 'pop', 'pop dance', 'tropical house']",Whatever
39,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,90,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,74,['singer-songwriter pop'],Strangers
40,spotify:track:34Yl756FwYuZldE9xnshj5,if u think i'm pretty,80,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,[],if u think i'm pretty
41,spotify:track:7dJYggqjKo71KI9sLzqCs8,Agora Hills,86,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,"['dance pop', 'pop']",Scarlet
42,spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,91,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,90,['pop'],GUTS
43,spotify:track:4o120XeV8els1S5bu7mzBX,Eyes Closed,69,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,87,"['modern rock', 'pop', 'rock']",Eyes Closed
44,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),89,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs
45,spotify:track:28drn6tQo95MRvO0jQEo5C,Type Shit,89,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE DON'T TRUST YOU
46,spotify:track:48vIfHaK7by6x0T6ucpODL,Make You Mine,86,spotify:artist:2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,76,['pop'],Make You Mine
47,spotify:track:4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),88,spotify:artist:790FomKkXshlbRYZFtlgla,KAROL G,90,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",CONTIGO (with Tiësto)
48,spotify:track:2KslE17cAJNHTsI2MI0jb2,Standing Next to You,91,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,Jung Kook,86,['k-pop'],GOLDEN
49,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",91,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,88,"['art pop', 'pop']","What Was I Made For? [From The Motion Picture ""Barbie""]"
