track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
5H3qGBAf5rJEOYKUrNBkOc,Goodbye,5,metal,Retrace The Lines,8,1307,['metalcore espanol'],Echoes Of Love And Hate,0.507,0.977,7,1,-2.925,0.171,0.000464,0.00177,0.0907,0.337,144.982,207517,4,0K5CAX9Y8ScJgj2UaSaUtf,spotify:album:3iZCWabABaDJg3oN9p7afK
2fi4i1YUPqrefJWz4iBLxH,Parasite,6,metal,Retrace The Lines,8,1307,['metalcore espanol'],Echoes Of Love And Hate,0.384,0.964,2,0,-3.638,0.283,0.00242,0.00216,0.0663,0.112,155.054,233129,4,0K5CAX9Y8ScJgj2UaSaUtf,spotify:album:3iZCWabABaDJg3oN9p7afK
6GzilNRnTdYdFLee3H1w4p,D.O.T.I.,6,metal,Retrace The Lines,8,1307,['metalcore espanol'],Echoes Of Love And Hate,0.439,0.984,4,0,-3.121,0.17,0.000245,3.66e-05,0.465,0.122,82.51,217545,4,0K5CAX9Y8ScJgj2UaSaUtf,spotify:album:3iZCWabABaDJg3oN9p7afK
7CLrUPlyqoNfzaoBNw9yWP,The Bluebells Knell & Where Flowers Would Waltz,1,metal,Moulderyawn,2,430,['ambient black metal'],When the Last Forest Has Died,0.172,0.671,1,1,-7.629,0.0944,0.77,0.631,0.279,0.0802,135.011,562320,4,4jjCnzjRtrgDdjEKaGcTGA,spotify:album:5SHlXUtOd9kb4YkPkqhLzR
1jaVNqd8UK9csGafGYGzsM,Under the Bridge,1,metal,Red Hot Chili Peppers,80,20533144,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Acoustic and Tranquility,0.559,0.345,4,1,-13.495,0.0465,0.0571,0.000106,0.141,0.466,84.581,264307,4,0L8ExT028jH3ddEcZwqJJ5,spotify:album:5L7JJEjVRPQXk4whyCx6QD
7tYUYGOGpabq77Q9rDgUIq,美女と魔獣,0,metal,Damian Hamada's Creatures,11,2513,['japanese heavy metal'],最後の審判,0.507,0.9,9,0,-3.354,0.0768,0.000473,0.00531,0.335,0.304,109.979,321013,4,5mu3Lpg65rLQhkwqwPLPVe,spotify:album:3fPX4qgoN5NhV5Al7urEl1
6upiHlaoOypUdQ65i5GL0q,Liberty Rising - alternate mix,1,metal,Immortal Sÿnn,5,1809,['denver metal'],"Live Cuts and Rarities, Vol. 2",0.396,0.981,8,0,-2.981,0.093,3.68e-05,0.00104,0.0375,0.469,76.021,290306,4,6KrryVxqB0q7iBcM82vQ10,spotify:album:6QxcBKWrMTSiKfGZxw1ER4
0WlN56ktV9aCJhQ76a8wCM,A Symptom of Being Human,0,metal,Shinedown,68,4028705,"['alternative metal', 'nu metal', 'post-grunge']",Good Morning - Hits And Coffee,0.601,0.552,0,1,-7.534,0.0261,0.0892,0.0,0.134,0.324,133.979,248454,4,70BYFdaZbEKbeauJ670ysI,spotify:album:7molQLTFY9SLJIRf6ZDZqs
1nKFw2eJ4Eo8Vj7Hvczatr,Friendly Fire,2,metal,Linkin Park,84,25122504,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",I'ts New & Hot,0.278,0.68,8,0,-5.289,0.0601,0.00675,0.0,0.258,0.252,185.418,176901,3,6XyY86QOPPrYVGvF9ch6wz,spotify:album:32JhvSMin9EIPCE2zQWbfB
1tbrbydguN8Yfcsxzp7Df3,Two of Us (Stuck),1,metal,Theory of a Deadman,60,2080858,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",Rock & Chill,0.467,0.851,11,0,-4.466,0.0801,0.0161,1.75e-06,0.134,0.405,177.827,211660,4,74eX4C98E4FCrAMl39qRsJ,spotify:album:4Y33SZ5ffTG9Rm1M7J40tt
0vRg6Lclx566cTIjKUcfdc,Bestowed by Sepulchral Winds of Mysticism,1,metal,Ages of Blood,2,1089,"['medieval black metal', 'pagan black metal']",An Oath Enshrined by Honour and Death,0.278,0.921,2,1,-8.956,0.0697,2.6e-05,0.0651,0.359,0.297,75.214,406159,4,4KlCMraD4khFPRWnSvp6ki,spotify:album:157QuetreE3aYMAvC6QUXr
